bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1092865,757141,2018-05-29,Assembly,"AB 2967 QUIRK-SILVA Consent Calendar Second Day Regular Session",78,0,0,0,78
1092865,766171,2018-06-20,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations] with the recommendation: To Consent Calendar",8,0,1,0,9
1092865,770260,2018-08-06,Senate,"Placed on suspense file",7,0,0,0,7
1092865,771712,2018-08-16,Senate,"Do pass",7,0,0,0,7
1092865,773662,2018-08-29,Senate,"Assembly 3rd Reading AB2967 Quirk-Silva By Monning",39,0,1,0,40
1092865,773743,2018-08-30,Assembly,"AB 2967 QUIRK-SILVA Concurrence in Senate Amendments",78,0,2,0,80
1092867,747634,2018-05-02,Assembly,"Do pass",15,0,6,0,21
1092867,752675,2018-05-14,Assembly,"AB 2969 LOW Assembly Third Reading",59,0,19,0,78
1092867,762637,2018-06-12,Senate,"Do pass",9,0,3,0,12
1092867,769189,2018-06-28,Senate,"Assembly 3rd Reading AB2969 Low et al. By Lara",31,2,6,0,39
1092869,737388,2018-04-11,Senate,"Do pass as amended",9,0,0,0,9
1092869,756975,2018-05-29,Senate,"Senate 3rd Reading SB1287 Hernandez",38,0,1,0,39
1092869,768333,2018-06-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",15,0,0,0,15
1092869,771505,2018-08-15,Assembly,"Do pass",17,0,0,0,17
1092869,772962,2018-08-27,Assembly,"SB 1287 Hernandez Senate Third Reading By WOOD",80,0,0,0,80
1092869,773141,2018-08-28,Senate,"Unfinished Business SB1287 Hernandez et al. Concurrence",39,0,1,0,40
1092870,743399,2018-04-24,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1092870,750168,2018-05-07,Senate,"Placed on suspense file",6,0,1,0,7
1092870,756273,2018-05-25,Senate,"Do pass",7,0,0,0,7
1092870,758560,2018-05-31,Senate,"Special Consent SB1314",39,0,0,0,39
1092870,768800,2018-06-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,0,3,0,10
1092871,743662,2018-04-24,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1092871,755239,2018-05-21,Senate,"Senate 3rd Reading SB1304 Newman",38,0,1,0,39
1092871,769069,2018-06-26,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",9,0,1,0,10
1092871,771139,2018-08-08,Assembly,"Do pass. To Consent Calendar",17,0,0,0,17
1092871,771528,2018-08-16,Assembly,"SB 1304 Roth Consent Calendar Second Day Regular Session",76,0,4,0,80
1092871,772180,2018-08-20,Senate,"Unfinished Business SB1304 Roth Concurrence",39,0,1,0,40
1092872,747016,2018-05-01,Assembly,"Do pass. To Consent Calendar",10,0,0,0,10
1092872,749954,2018-05-07,Assembly,"AB 3066 STONE Consent Calendar Second Day Regular Session",72,0,6,0,78
1092872,768819,2018-06-26,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,2,0,0,7
1092872,770921,2018-08-06,Senate,"Placed on suspense file",7,0,0,0,7
1092872,772073,2018-08-16,Senate,"Do pass as amended",5,2,0,0,7
1092872,773492,2018-08-29,Senate,"Assembly 3rd Reading AB3066 Mark Stone et al. By Jackson",24,14,2,0,40
1092872,773826,2018-08-30,Assembly,"With recommendation: That Senate amendments be concurred in",5,2,0,0,7
